year,month,date,Open,High,Low,Close,Volume
1946,2,1946-02-15 02:20:00+00:00,17.98444440629747,17.98444440629747,17.98444440629747,17.98444440629747,0.0
1946,3,1946-03-15 23:17:08.571428608+00:00,17.52190489996047,17.52190489996047,17.52190489996047,17.52190489996047,0.0
1946,4,1946-04-14 23:11:25.714285696+00:00,18.65142858596075,18.65142858596075,18.65142858596075,18.65142858596075,0.0
1946,5,1946-05-15 21:27:16.363636352+00:00,18.7122728174383,18.7122728174383,18.7122728174383,18.7122728174383,0.0
1946,6,1946-06-15 16:00:00+00:00,18.580499935150147,18.580499935150147,18.580499935150147,18.580499935150147,0.0
1946,7,1946-07-16 08:21:49.090909056+00:00,18.05363637750799,18.05363637750799,18.05363637750799,18.05363637750799,0.0
1946,8,1946-08-16 05:05:27.272727296+00:00,17.702727231112394,17.702727231112394,17.702727231112394,17.702727231112394,0.0
1946,9,1946-09-16 01:39:00+00:00,15.06700005531311,15.06700005531311,15.06700005531311,15.06700005531311,0.0
1946,10,1946-10-16 05:00:00+00:00,14.747391327567723,14.747391327567723,14.747391327567723,14.747391327567723,0.0
1946,11,1946-11-16 03:40:00+00:00,14.667777803209093,14.667777803209093,14.667777803209093,14.667777803209093,0.0
